temps;ReferenceFixe;Sonde2;Sonde3;Sonde4;Sonde5;Sonde6;Sonde7;waterMak
date;heure,ReferenceFixe,Sonde2,Sonde3,Sonde4,Sonde5,Sonde6,Sonde7,waterMak
2026-7-11;9:34:58,426.02,43817904.00,15133.35,72483760.00,42430.09,216585.77,71969408.00,65223.70
2026-7-11;10:35:40,427.89,41629272.00,15506.95,73742440.00,43214.38,220888.28,72584488.00,69500.62
2026-7-11;11:36:23,428.68,44103300.00,15888.36,72847688.00,44078.74,226151.88,78572832.00,74135.88
2026-7-11;12:37:5,426.90,40795176.00,16254.47,75599432.00,44911.54,232343.25,73107688.00,78948.65
2026-7-11;13:37:48,426.62,43501656.00,16638.19,73215288.00,45861.63,239106.97,74335360.00,83952.80
2026-7-11;14:38:30,427.59,40860740.00,17017.23,71820968.00,46817.30,246253.61,72128432.00,88605.16
2026-7-11;15:39:13,427.20,42803420.00,17382.98,73000408.00,47739.95,253601.66,72949432.00,93310.09
2026-7-11;16:39:55,426.90,44161200.00,17750.23,76228240.00,48592.67,261009.64,71020160.00,104549.80
2026-7-11;17:40:38,427.30,41544664.00,18129.46,71870376.00,49532.80,269158.00,73638480.00,189366.06
2026-7-11;18:41:20,426.71,43351544.00,18509.92,74277224.00,50500.43,277709.34,73318056.00,1475329.10
2026-7-11;19:42:3,426.51,40167932.00,18916.44,70279528.00,51528.46,286482.16,71969408.00,14217625.00
2026-7-11;20:42:45,426.81,42306684.00,19326.61,74547536.00,52506.48,295358.69,71315928.00,58872540.00
2026-7-11;21:43:28,426.81,40120004.00,19755.28,71722344.00,53507.39,303754.59,71121712.00,69277368.00
2026-7-11;22:44:10,426.41,42875584.00,20200.05,71472072.00,54525.95,312476.88,68303352.00,74986288.00
2026-7-11;23:44:53,426.71,40632976.00,20641.31,70526272.00,55561.67,321445.13,66830484.00,86508400.00
2026-7-12;0:45:35,426.41,40406168.00,21127.95,72898528.00,56675.88,331556.06,74494376.00,83742544.00
2026-7-12;1:46:18,425.72,37737464.00,21621.14,74606096.00,57846.59,342755.69,70090896.00,84713264.00
2026-7-12;2:47:0,426.90,41888532.00,22141.24,74171760.00,59147.96,354778.78,74712800.00,98742088.00
2026-7-12;3:47:43,425.03,41224312.00,22673.60,70822744.00,60500.44,366997.03,71121712.00,87027056.00
2026-7-12;4:48:25,427.30,40992500.00,23217.45,72228168.00,61992.73,381383.69,75375816.00,85706736.00
2026-7-12;5:49:8,426.41,39026360.00,23853.30,72433504.00,63741.48,397705.31,73107688.00,99512824.00
2026-7-12;6:49:50,427.30,40359236.00,24433.84,75430232.00,65323.82,413599.63,75490184.00,82317680.00
2026-7-12;7:50:33,427.69,38219132.00,25076.10,75207608.00,67023.16,431496.94,73904160.00,90823408.00
2026-7-12;8:51:15,426.41,42113576.00,25688.11,76111624.00,68708.85,449417.16,73742440.00,93655352.00
2026-7-12;9:51:58,427.80,40926512.00,26302.72,74061336.00,70265.29,468620.19,73794528.00,98648912.00
2026-7-12;10:52:39,428.28,41342020.00,26921.48,73638480.00,71742.55,489407.34,75045536.00,97699312.00
2026-7-12;11:53:22,428.47,41511580.00,27536.02,76000896.00,73292.97,511996.38,79992416.00,104610960.00
2026-7-12;12:54:4,429.76,41819640.00,28183.67,75099480.00,74976.60,536925.38,76228240.00,95052016.00
2026-7-12;13:54:47,429.37,39236464.00,28832.57,73846688.00,76781.80,565267.75,76228240.00,90500984.00
2026-7-12;14:55:29,429.26,39618284.00,29532.01,75099480.00,78755.75,598514.94,71073320.00,91068712.00
2026-7-12;15:56:12,427.99,40454780.00,30280.52,76799776.00,80985.04,637643.19,72584488.00,86947416.00
2026-7-12;16:56:54,428.19,40992500.00,31080.37,74061336.00,83343.27,684841.13,77916592.00,93320896.00
2026-7-12;17:57:37,427.20,40374864.00,31987.06,73369552.00,86065.47,741739.63,73904160.00,118037850.00
2026-7-12;18:58:19,428.47,41612656.00,33032.32,74659408.00,89342.03,813999.75,75099480.00,96767808.00
2026-7-12;19:59:2,428.47,40390512.00,34180.23,76111624.00,93051.82,904174.13,75045536.00,112695130.00
2026-7-12;20:59:44,428.28,41309256.00,35406.90,73369552.00,96977.45,1011004.60,73904160.00,109211110.00
2026-7-12;22:0:27,427.99,38832956.00,36694.16,74388296.00,101137.66,1129399.00,73794528.00,102407930.00
2026-7-12;23:1:9,428.47,45852348.00,38060.14,76283896.00,105341.82,1255291.00,78214056.00,101888940.00
2026-7-13;0:1:52,427.40,42517164.00,39473.30,75375816.00,109771.57,1403116.60,76912848.00,110038620.00
2026-7-13;1:2:34,427.99,42060908.00,40935.11,78815832.00,114095.20,1556437.40,76687040.00,113960140.00
2026-7-13;2:3:17,429.07,38611388.00,42364.12,73529640.00,118404.91,1710670.80,79864024.00,112331940.00
2026-7-13;3:3:59,428.97,37877384.00,43849.91,74659408.00,122655.97,1866121.00,77736880.00,110984670.00
2026-7-13;4:4:42,428.19,40183420.00,45345.80,76167120.00,126970.05,2026735.40,80305944.00,103543850.00
2026-7-13;5:5:24,429.37,39665024.00,46854.60,76167120.00,131253.75,2173834.00,78513792.00,103862740.00
2026-7-13;6:6:7,427.69,41801196.00,48373.34,76283896.00,135670.83,2345725.50,78454832.00,115636200.00
2026-7-13;7:6:49,427.59,41544664.00,49905.84,75890480.00,140053.66,2542982.00,77974736.00,100488490.00
2026-7-13;8:7:32,428.68,41922220.00,51373.79,77558000.00,143810.80,2725733.80,78875328.00,115905350.00
2026-7-13;9:8:14,427.10,42785856.00,52772.42,76687040.00,147301.88,2911759.30,79126200.00,121282180.00
2026-7-13;10:8:57,427.99,43240084.00,54017.07,75774896.00,150323.27,3109013.80,78815832.00,103759650.00
2026-7-13;11:9:39,429.86,41939084.00,55201.39,76000896.00,152926.95,3306925.80,78875328.00,114084470.00
2026-7-13;12:10:22,427.69,39898856.00,56300.16,75045536.00,155605.77,3581835.50,79675240.00,110866990.00
2026-7-13;13:11:4,428.47,40247032.00,57442.46,74766264.00,158388.33,3849620.50,76395456.00,119004980.00
2026-7-13;14:11:47,428.58,43240084.00,58538.43,76856272.00,161485.91,4206960.00,79553920.00,107814740.00
2026-7-13;15:12:29,428.47,42553604.00,59604.95,75544768.00,164310.53,4543148.00,77443032.00,106464440.00
2026-7-13;16:13:12,428.58,40713916.00,60584.33,77265488.00,167228.36,4947403.00,77858536.00,107471210.00
2026-7-13;17:13:54,429.56,40926512.00,61555.63,78091296.00,169936.73,5427570.00,77443032.00,103759650.00
2026-7-13;18:14:37,427.10,40632976.00,62623.77,72433504.00,173140.55,5966322.50,75774896.00,101998290.00
2026-7-13;19:15:19,428.87,41276544.00,63757.72,75774896.00,176758.64,6669959.00,75544768.00,106129430.00
2026-7-13;20:16:2,430.06,43057956.00,64894.07,77673320.00,180314.84,7358678.00,79246216.00,103543850.00
2026-7-13;21:16:44,427.01,42696496.00,66012.89,72847688.00,183447.28,8118709.00,77974736.00,102407930.00
2026-7-13;22:17:27,427.50,39057076.00,67157.40,74547536.00,186842.00,9137881.00,76743368.00,101888940.00
2026-7-13;23:18:9,428.19,38921424.00,68272.14,75321472.00,189905.77,10009710.00,72741168.00,101090930.00
2026-7-14;0:18:52,427.30,42147628.00,69333.14,76512944.00,193050.14,11061820.00,72847688.00,105370040.00
2026-7-14;1:19:34,427.30,41159204.00,70375.58,75045536.00,196056.72,12131997.00,77794768.00,96580064.00
2026-7-14;2:20:17,428.68,39177468.00,71382.68,77202696.00,198942.05,12882544.00,81009464.00,110387120.00
2026-7-14;3:20:59,428.28,42113576.00,72299.60,75430232.00,201856.52,14949051.00,72634960.00,95320712.00
2026-7-14;4:21:42,428.68,42659812.00,73183.25,75774896.00,204803.02,16207328.00,75714488.00,100788810.00
2026-7-14;5:22:24,428.38,42465212.00,74120.48,76630792.00,208142.41,18280998.00,76000896.00,110387120.00
2026-7-14;6:23:7,428.28,39914136.00,75031.06,75375816.00,211726.84,20097292.00,77858536.00,114221550.00
2026-7-14;7:23:49,428.58,40713916.00,75916.14,75321472.00,215370.27,22059206.00,75490184.00,109795970.00
2026-7-14;8:24:32,428.38,40215976.00,76798.30,76799776.00,218992.47,26314126.00,78149704.00,107239720.00
2026-7-14;9:25:14,428.97,42306684.00,77734.42,75829896.00,223255.80,28582978.00,72634960.00,104391610.00
2026-7-14;10:25:57,429.86,41750976.00,78866.37,75430232.00,228619.13,33785312.00,75890480.00,95590920.00
2026-7-14;11:26:39,428.28,44547932.00,80026.48,76856272.00,234335.00,37089980.00,77794768.00,109439720.00
2026-7-14;12:27:22,428.58,40503512.00,81078.58,75945648.00,239522.33,42164672.00,71969408.00,98453816.00
2026-7-14;13:28:4,429.26,41309256.00,82107.07,77265488.00,244190.73,46374256.00,76912848.00,100993270.00
2026-7-14;14:28:47,428.68,40745748.00,82942.64,75261784.00,248246.52,49151472.00,74388296.00,115253860.00
2026-7-14;15:29:29,428.38,40152460.00,83811.34,77736880.00,252814.78,53829644.00,79366600.00,96580064.00
2026-7-14;16:30:12,430.84,40648820.00,84756.38,73000408.00,257469.64,56834032.00,75544768.00,99022680.00
2026-7-14;17:30:54,427.89,39914136.00,85860.30,76630792.00,263024.47,60158232.00,75599432.00,102197700.00
2026-7-14;18:31:37,429.16,41409348.00,87051.67,77202696.00,268861.06,62675160.00,74659408.00,102922070.00
2026-7-14;19:32:19,429.67,42130592.00,88352.04,74441296.00,275065.91,60622808.00,74494376.00,102407930.00
2026-7-14;20:33:2,430.36,40568140.00,89686.06,76975184.00,281060.84,61723012.00,68258720.00,130254430.00
2026-7-14;21:33:44,428.08,39115712.00,90959.98,72690552.00,287255.00,64295960.00,73846688.00,107592850.00
2026-7-14;22:34:27,428.68,39866808.00,92368.27,70774752.00,293029.06,65534648.00,74986288.00,97226816.00
2026-7-14;23:35:9,428.47,39727012.00,93643.41,73266640.00,298592.19,65534648.00,76451360.00,103656780.00
2026-7-15;0:35:52,427.59,40009128.00,94826.84,73904160.00,303826.47,68442104.00,75654184.00,106910770.00
2026-7-15;1:36:34,429.46,42428920.00,95960.59,75375816.00,309111.69,69231456.00,73904160.00,112211390.00
2026-7-15;2:37:17,428.28,40454780.00,97041.93,76056224.00,313882.69,72128432.00,74712800.00,105041860.00
2026-7-15;3:37:59,428.97,41159204.00,98030.21,72847688.00,319216.09,68258720.00,76687040.00,109669300.00
2026-7-15;4:38:42,427.69,41091064.00,98961.88,74932504.00,324406.91,74335360.00,73529640.00,93146272.00
2026-7-15;5:39:24,428.08,42358248.00,99953.92,74659408.00,330121.84,64458676.00,76283896.00,107592850.00
2026-7-15;6:40:7,429.16,42306684.00,100942.90,76975184.00,336320.28,66873276.00,76512944.00,104287490.00
2026-7-15;7:40:49,428.08,41460404.00,101879.13,76799776.00,342208.09,72634960.00,75207608.00,104715740.00
